Keywords,Answers
ensemble learning,ensemble learning methods is a machine learning method that contributes to combining base models to create one efficient predictive model it boosts the overall development of the process 
simple ensemble techniques,the simple ensemble techniques are max voting avearge weighted average
max voting,the max voting method is generally used for classification problems in this technique multiple models are used to make predictions for each data point the predictions by each model are considered as a vote the predictions which we get from the majority of the models are used as the final prediction 
voting classifiers,voting classifiers are usually used in classification problems imagine you trained and fitted a few classifiers logistic regression classifier svm classifiers random forest classifier among others to your training dataset 
weighted average,weighted average is an extension of the averaging method all models are assigned different weights defining the importance of each model for prediction for instance if two of your colleagues are critics while others have no prior experience in this field then the answers by these two friends are given more importance as compared to the other people 
advanced ensemble techniques,the advanced ensemble techniques are stacking blending bagging boosting
stacking,stacking is an ensemble learning technique that uses predictions from multiple models for example decision tree knn or svm to build a new model this model is used for making predictions on the test set below is a stepwise explanation for a simple stacked ensemble 
blending,blending uses only a holdout validation set from the train set to make predictions 
bagging, bagging is combining the results of multiple models for instance all decision trees to get a generalized result different bagging algorithms are bagging metaestimator random forest
bootstrapping,bootstrapping is a sampling technique in which we create subsets of observations from the original dataset with replacement the size of the subsets is the same as the size of the original set 
boosting,boosting is a sequential process where each subsequent model attempts to correct the errors of the previous model the succeeding models are dependent on the previous model different boosting algorithms are adaboost gbm xgbm light gbm catboost
bagging metaestimator,bagging metaestimator is an ensembling algorithm that can be used for both classification baggingclassifier and regression baggingregressor problems it follows the typical bagging technique to make predictions following are the steps for the bagging metaestimator algorithm 
random forest,random forest is another ensemble machine learning algorithm that follows the bagging technique it is an extension of the bagging estimator algorithm the base estimators in random forest are decision trees 
adaboost,adaptive boosting or adaboost is one of the simplest boosting algorithms usually decision trees are used for modelling multiple sequential models are created each correcting the errors from the last model adaboost assigns weights to the observations which are incorrectly predicted and the subsequent model works to predict these values correctly 
gradient boosting,gradient boosting or gbm is another ensemble machine learning algorithm that works for both regression and classification problems gbm uses the boosting technique combining a number of weak learners to form a strong learner regression trees used as a base learner each subsequent tree in series is built on the errors calculated by the previous tree 
xgboost,xgboost extreme gradient boosting is an advanced implementation of the gradient boosting algorithm xgboost has proved to be a highly effective ml algorithm extensively used in machine learning competitions and hackathons xgboost has high predictive power and is almost times faster than the other gradient boosting techniques it also includes a variety of regularization which reduces overfitting and improves overall performance 
light gbm,lightgbm is a gradient boosting framework that uses treebased algorithms and follows leafwise approach while other algorithms work in a levelwise approach pattern the images below will help you understand the difference in a better way 
catboost,catboost can automatically deal with categorical variables and does not require extensive data preprocessing like other machine learning algorithm 
different parameters used bagging metaestimator,different parameters used in bagging base estimator n estimators max samples max features n jobs
different parameters used random forest,different parameters used in random forest n estimators criterion max features max depth min samples split min samples leaf max leaf nodes n jobs
different parameters used adaboost,different parameters used in adaboost base estimators n estimators learning rate max depth
different parameters used gradient boosting,different parameters used in gradient boosting min samples leaf min weight fraction leaf
different parameters used xgboost,different parameters used in xgboost nthread gamma eta min child weight
different parameters used light gbm,different parameters used in light gbm num iterations num leaves min data in leaf 
different parameters used catboost,different parameters used in catboost loss function iterations learning rate
crossvalidation,crossvalidation is a technique that involves partitioning the original observation dataset into a training set used to train the model and an independent set used to evaluate the analysis 
kfold crossvalidation,in kfold crossvalidation we divide the dataset into k equal parts after this we loop over the entire dataset k times in each iteration of the loop one of the k parts is used for testing and the other k parts are used for training using kfold crossvalidation each one of the k parts of the dataset ends up being used for training and testing purposes 
model evaluation metrics,model evaluation metrics are required to quantify model performance the choice of evaluation metrics depends on a given machine learning task such as classification regression ranking clustering topic modeling among others some metrics such as precisionrecall are useful for multiple tasks supervised learning tasks such as classification and regression constitutes a majority of machine learning applications in this article we focus on metrics for these two supervised learning models 
classification accuracy,classification accuracy is a common evaluation metric for classification problems it is the number of correct predictions made as a ratio of all predictions made we use sklearn module to compute the accuracy of a classification task 
logarithmic loss,logarithmic loss logloss measures the performance of a classification model where the prediction input is a probability value between and log loss increases as the predicted probability diverges from the actual label the goal of machine learning models is to minimize this value as such smaller logloss is better with a perfect model having a log loss of 
area curve auc,area under roc curve is a performance metric for measuring the ability of a binary classifier to discriminate between positive and negative classes 
mean absolute error,mean absolute error can be defined as the difference between the actual values and the predicted values s
mean squared error,mean squared error or commonly known as the mse is the average of the squared errors used as the loss function for the least squares values of regression it is basically the sum of the square of the difference between the predicted target variables and the actual target variables which is finally divided by the number of data points 
rsquared,rsquared can be defined as the statistical measure that is used to represent the goodness fit of a regression model the ideal value of rsquare is known to be closer the value of rsquare to better is the fitted model 
adjusted rsquared,adjusted rsquared is quite different from rsquared as it takes into account the number of independent variables that are used for predicting the target variable in this way one can determine if the addition of these new variables will actually increase the model fit or not 
