,topic,questions,answers
0,Data Science,1) What is Machine learning?,Machine learning is a branch of computer science which deals with system programming in order to automatically learn and improve with experience.  For example: Robots are programed so that they can perform the task based on data they gather from sensors. It automatically learns programs from data.
1,Data Science,2) Mention the difference between Data Mining and Machine learning? ,"Machine learning relates with the study, design and development of the algorithms that give computers the capability to learn without being explicitly programmed.  While, data mining can be defined as the process in which the unstructured data tries to extract knowledge or unknown interesting patterns.  During this process machine, learning algorithms are used."
2,Data Science,3) What is ‘Overfitting’ in Machine learning?,"In machine learning, when a statistical model describes random error or noise instead of underlying relationship ‘overfitting’ occurs.  When a model is excessively complex, overfitting is normally observed, because of having too many parameters with respect to the number of training data types. The model exhibits poor performance which has been overfit."
3,Data Science,4) Why overfitting happens?,The possibility of overfitting exists as the criteria used for training the model is not the same as the criteria used to judge the efficacy of a model.
4,Data Science,5) How can you avoid overfitting ?,"In this technique,  a model is usually given a dataset of a known data on which training (training data set) is run and a dataset of unknown data against which the model is tested. The idea of cross validation is to define a dataset to “test” the model in the training phase."
5,Data Science,6) What is inductive machine learning?,"The inductive machine learning involves the process of learning by examples, where a system, from a set of observed instances tries to induce a general rule."
6,Data Science,10) What is the standard approach to supervised learning?,The standard approach to supervised learning is to split the set of example into the training set and the test.
7,Data Science,11) What is ‘Training set’ and ‘Test set’?,"In various areas of information science like machine learning, a set of data is used to discover the potentially predictive relationship known as ‘Training Set’. Training set is an examples given to the learner, while Test set is used to test the accuracy of the hypotheses generated by the learner, and it is the set of example held back from the learner. Training set are distinct from Test set."
8,Data Science,17) What is the difference between artificial learning and machine learning?,Machine learning in where mathematical foundations is independent of any particular classifier or learning algorithm is referred as algorithm independent machine learning?
9,Data Science,18) What is classifier in machine learning?,"Designing and developing algorithms according to the behaviours based on empirical data are known as Machine Learning.  While artificial intelligence in addition to machine learning, it also covers other aspects like knowledge representation, natural language processing, planning, robotics etc."
10,Data Science,19) What are the advantages of Naive Bayes?,"A classifier in a Machine Learning is a system that inputs a vector of discrete or continuous feature values and outputs a single discrete value, the class."
11,Data Science,21) What is Genetic Programming?,"In Naïve Bayes classifier will converge quicker than discriminative models like logistic regression, so you need less training data.  The main advantage is that it can’t learn interactions between features."
12,Data Science,22) What is Inductive Logic Programming in Machine Learning?,Genetic programming is one of the two techniques used in machine learning. The model is based on the testing and selecting the best choice among a set of results.
