questions,answers
1. What is the NLG (Natural Language Generation)?,"Natural Language Generation is a part of AI and generates natural language texts from structured data to produce an output. It can be seen as NLP’s reverse process, where NLP is used to understand and interpret the natural language to form data, and NLU is used to generate outputs in natural language from structured data."
2. What is the order of steps in natural language understanding?,The order of steps that are to be followed in Natural Language Understanding is as follows:
3. What is signal processing in NLP?,"Signal processing is a method that enables software to analyze, modify, and synthesize signals. In NLP, these can be sound or text signals."
4. What is pragmatic analysis in NLP?,The pragmatic analysis is the process of information extraction from the given text. It is a set of linguistic and logical tools that enable us to churn out the meaning of the given structure of a text.
5. What is syntactic analysis in NLP?,"The syntactic analysis, also referred to as parsing and syntax analysis, is the phase in which we try to process the given text’s structure. This process tries to draw meaning from the text by comparing it to formal grammar rules or syntax."
6. What is semantic analysis in NLP?,"The semantic analysis is the process of understanding the meaning of the text in the way humans perceive and communicate. It focuses on larger parts of data for processing, as compared to other analysis techniques."
7. What is sentiment analysis in NLP?,"The sentiment analysis, also known as opinion mining and emotion AI, is a process of detecting the polarity of the opinion in the text or can be a part of it. It is majorly used to identify, extract, and quantify user or customer reviews’ polarity, survey responses, or social media opinions."
8. What is discourse analysis in NLP?,"Discourse is a structured group of the sentence. Discourse analysis can be termed as an approach to analyzing the discourse, i.e., text or language. It involves text interpretations and interactions."
9. What is pragmatic ambiguity in NLP?,"Pragmatic ambiguity can be referred to as a condition where words have multiple interpretations. This condition arises when the meaning of words is not specific; i.e., it can give different meanings."
10. What are the major applications of NLP?,The major applications of NLP are:
11. List any real-world application of NLP?,"The most used real-world application of NLP is speech recognition. Examples of speech recognition applications are Amazon Alexa, Google Assistant, Siri, HP Cortana."
12. What are the common NLP techniques?,The common NLP techniques for text extraction are:
What are the components of NLP?,The components of NLP are:
14. What are the tools used for training NLP models?,"The tools used to train NLP models are NLTK, spaCY, PyTorch-NLP, openNLP."
15. Which NLP technique uses a lexical knowledge base to obtain the correct base form of the words?,The NLP techniques that use lexical knowledge to obtain the correct base form are lemmatization and stemming.
16. List the models to reduce the dimensionality of data in NLP.,"The commonly used models are TF-IDF, Word2vec/Glove, LSI, Topic Modelling, Elmo Embeddings."
17. List some open-source libraries for NLP.,"The popular libraries are NLTK (Natural Language ToolKit), SciKit Learn, Textblob, CoreNLP, spaCY, Gensim."
18. Explain the masked language model.,"Masked modeling is an example of autoencoding language modeling. Here the output is predicted from corrupted input. By this model, we can predict the word from other words present in the sentences."
19. What is the bag of words model?,"The Bagofwords model is used for information retrieval. Here the text is represented as a multiset, i.e., a bag of words. We don’t consider grammar and word order, but we surely maintain the multiplicity."
20. What is CBOW in NLP?,"CBOW or continuous bag of words is a model that tries to predict the target word from the available source context words, i.e., the surrounding words. Here the context words are taken into account as multiple words for a given target word."
21. What is TF-IDF and what are its uses?,TF-IDF is an abbreviation for the term frequency-inverse documentary frequency. It is used to provide a numeric value to a word to show how important it is in the document or a corpus.
22. What are POS and tagging?,"Parts Of Speech (POS) are the functions of the word, like a noun, verb, etc., and tagging is labeling the words present in the sentences into different parts of speech."
23. What is n-gram in NLP?,N-grams are the continuous sequence (similar to the power set in number theory) of n-tokens of a given text.
24. What is skip-gram?,Skip gram is an unsupervised learning technique used to find the most related words to a target word. It is a reverse process of the continuous bag of words model.
25. What is the corpus in NLP?,"Corpus or corpora (plural), is a collection of the text of a similar type, for example, movie reviews, social media posts, etc."
26. What are the features of the text corpus in NLP?,The features of text corpus are:
27. What is normalization in NLP?,"Normalization is the process of mapping similar terms to a canonical form, i.e., a single entity."
